flickr_group_id,group_id
723430@N23,365
72498008@N00,366
72596140@N00,367
72639154@N00,368
726591@N25,369
72771723@N00,370
728958@N22,371
730972@N25,372
73545483@N00,373
738050@N24,374
741312@N20,375
74136425@N00,376
74184109@N00,377
742722@N22,378
74273112@N00,379
74568834@N00,380
74855801@N00,381
752332@N21,382
752496@N25,383
753166@N21,384
757492@N24,385
76147754@N00,386
762396@N20,387
76303964@N00,388
763558@N21,389
76612751@N00,390
76635203@N00,391
76674380@N00,392
76921467@N00,393
770897@N25,394
776095@N23,395
781379@N23,396
78665694@N00,397
787165@N24,398
79091893@N00,399
79277597@N00,400
79604868@N00,401
79698077@N00,402
79777139@N00,403
79815061@N00,404
799505@N23,405
80008938@N00,406
80024551@N00,407
80137450@N00,408
80166835@N00,409
80561670@N00,410
80688829@N00,411
80702594@N00,412
80914266@N00,413
81546215@N00,414
82003896@N00,415
82009867@N00,416
82667763@N00,417
82761517@N00,418
82789190@N00,419
829352@N24,420
83029234@N00,421
83118758@N00,422
83398950@N00,423
83565338@N00,424
83758070@N00,425
83929853@N00,426
84349872@N00,427
84402565@N00,428
84476762@N00,429
844972@N25,430
84543875@N00,431
84682425@N00,432
84783631@N00,433
85042296@N00,434
853967@N20,435
85754487@N00,436
86347415@N00,437
86521483@N00,438
86593307@N00,439
866144@N25,440
866716@N22,441
867291@N23,442
868393@N22,443
87016851@N00,444
87079687@N00,445
884033@N25,446
887497@N20,447
888818@N23,448
888822@N25,449
895236@N20,450
89585697@N00,451
89693792@N00,452
89976748@N00,453
90133902@N00,454
90245629@N00,455
90348537@N00,456
90408443@N00,457
905730@N21,458
90774196@N00,459
90958913@N00,460
912056@N21,461
913567@N20,462
91604839@N00,463
918657@N24,464
919033@N21,465
91945517@N00,466
91961896@N00,467
92011261@N00,468
921053@N24,469
92401252@N00,470
92491550@N00,471
927412@N22,472
92763548@N00,473
931632@N22,474
93321506@N00,475
93531274@N00,476
93679807@N00,477
93711910@N00,478
93779905@N00,479
94021958@N00,480
94544884@N00,481
94705752@N00,482
94799339@N00,483
94847454@N00,484
960598@N25,485
961604@N22,486
96352861@N00,487
96771495@N00,488
968874@N22,489
97401553@N00,490
980949@N23,491
98133476@N00,492
98446321@N00,493
98519888@N00,494
99055067@N00,495
99392030@N00,496
996775@N24,497
998398@N23,498
99869281@N00,499
99934916@N00,500
