1,8706
2,9493
5,8219
10,8518
12,5620
14,270
16,991
18,6810
19,6761
20,2918
21,6394
22,7914
26,6636
29,8380
31,2817
34,2087
35,1114
36,6410
37,602
41,4003
44,9523
46,7404
47,2125
48,4467
50,6238
51,7437
52,1379
55,10966
56,5045
58,5832
60,8782
61,1649
63,7421
65,9084
66,7914
67,5734
68,6761
70,9545
72,820
73,7914
74,9908
75,6303
76,7437
77,2793
78,3150
79,726
80,10036
83,7022
84,6303
85,6761
86,70
88,6303
91,4209
93,2980
94,8821
96,5122
98,833
99,7707
100,8576
101,10910
102,4325
103,2980
106,4368
107,7914
109,6790
110,9084
115,1044
120,7914
121,2060
123,4457
125,5984
126,6541
128,10388
129,7778
130,2980
131,3772
133,7778
135,7437
137,1387
141,7437
142,1000
143,123
144,604
145,4881
146,2908
148,2717
149,7068
150,9161
151,534
154,3135
155,9809
156,9161
157,194
158,7437
159,273
160,4437
161,820
162,3024
163,6046
164,95
166,4195
167,3324
170,10563
173,10036
176,6380
177,4344
178,5082
179,4258
182,3755
183,10036
185,7914
186,2793
188,9809
189,6761
192,8301
193,833
197,10789
198,2928
199,4904
201,9684
203,3755
204,9078
210,2875
211,3029
213,9742
216,8219
218,8107
221,6561
224,10036
226,4742
229,3029
230,6939
232,3755
234,2198
238,7437
239,9419
241,349
242,7586
244,9213
247,8202
248,3755
249,5318
250,2793
252,1653
254,2398
256,5734
258,602
259,6380
260,877
263,9809
264,7320
266,1356
267,5941
268,3529
271,2980
272,10589
273,1810
274,6323
275,1910
276,195
278,914
279,2885
283,6289
284,534
285,1688
287,3029
289,1937
290,2060
291,146
292,9161
293,2564
294,6469
296,4876
299,2928
300,9161
301,5281
302,5378
304,9684
306,6463
309,8555
310,8703
311,4910
312,7824
313,10658
315,9761
316,6936
317,6045
318,10320
321,2125
323,1374
324,9161
325,8330
327,2875
328,4904
330,6494
333,95
335,8362
337,6965
338,9390
339,348
340,3529
342,1264
344,6871
345,7824
348,10055
349,4876
350,7778
352,5620
356,9084
357,2125
358,4209
359,1173
362,2720
363,322
365,602
366,4904
367,11013
369,1794
370,6388
371,6636
372,7421
373,10709
374,8179
375,581
376,2616
377,6459
379,8369
380,6761
381,4311
382,10789
385,3755
386,6761
388,5046
390,2928
391,6380
393,5620
394,8369
395,2928
396,3755
397,7055
398,6856
400,7421
401,3198
402,5734
404,6761
405,2875
407,3512
408,2928
409,2210
410,3619
412,6993
413,1000
414,10563
418,277
419,3755
420,6362
422,8179
423,3252
425,6303
427,8163
428,3755
431,9084
433,3029
434,6761
435,3529
436,2928
438,7437
439,5734
440,273
441,3755
442,6867
443,7914
444,2928
448,3386
449,5182
450,10036
451,878
452,6438
453,1746
457,2980
462,10420
465,8179
466,4355
467,123
470,10789
471,7894
472,194
473,7915
475,953
477,8051
481,1671
482,9084
485,9783
489,534
490,8219
491,6351
493,3800
496,6342
499,10036
501,9161
502,2723
505,10036
506,6303
507,10036
508,10036
512,5171
514,1928
515,10789
516,4588
517,9084
518,10789
519,10112
521,2892
522,5859
523,3029
524,10388
527,146
528,7824
529,8405
530,739
531,2125
532,2793
534,5538
535,3963
536,6303
537,4209
538,9813
539,123
540,6380
543,6761
544,3150
545,1720
547,10294
548,4209
549,5442
551,9838
552,6303
553,6303
554,6457
556,6313
562,356
565,820
566,9084
567,735
569,7586
570,9258
571,4910
573,9890
575,7421
576,602
578,9684
579,2087
580,523
581,9301
582,9084
583,1973
587,4467
588,7421
589,3989
590,602
591,5902
592,6600
593,9084
594,2661
595,5564
596,10789
598,2257
600,914
606,8210
607,2125
608,4467
611,10386
613,8369
615,10640
618,8384
619,2087
620,5734
624,1649
627,2087
629,4904
630,8369
631,7073
632,9684
633,9084
635,820
636,7610
639,820
640,9684
641,8369
642,10036
644,7778
645,412
646,9084
647,5778
648,8622
649,5836
651,349
656,9660
657,828
659,6121
660,592
662,1814
663,2928
665,6303
667,4105
668,525
669,1283
670,8200
671,6425
675,4062
677,5734
679,242
681,6303
682,9084
684,1098
685,4904
686,6761
688,10036
690,6303
692,2128
693,9084
695,6094
697,8179
699,6204
701,9912
702,1974
703,9161
704,1033
705,10047
707,9084
710,3029
711,5734
712,2928
713,2058
717,6285
719,4103
720,9349
723,6303
724,277
725,2793
727,8179
730,11013
732,5994
733,9684
734,5986
737,4910
738,5566
740,4904
741,7421
742,146
747,6761
748,9032
749,7285
750,5873
753,2408
755,6691
760,9084
761,8499
764,2060
766,4439
767,123
770,7059
772,4891
774,8745
